[INFO] 2026-02-03 10:33:33,871 apps 4668 9664 VGG16 モデルをロード中...
[INFO] 2026-02-03 10:33:37,834 apps 4668 9664 VGG16 モデルのロードが完了しました
[INFO] 2026-02-03 10:33:37,835 apps 4668 9664 モデルバージョン: v1.0
[INFO] 2026-02-03 10:33:37,836 apps 4668 9664 画像解析アプリケーション の初期化が完了しました
[INFO] 2026-02-03 10:33:37,879 autoreload 4668 9664 Watching for file changes with StatReloader
[INFO] 2026-02-03 10:34:02,732 log 4668 16964 "GET / HTTP/1.1" 200 22961
[WARNING] 2026-02-03 10:34:03,332 log 4668 16964 "GET /favicon.ico HTTP/1.1" 404 3342
[INFO] 2026-02-03 10:34:13,173 log 4668 16964 "GET /history/ HTTP/1.1" 200 22103
[INFO] 2026-02-03 10:34:16,361 log 4668 16964 "GET / HTTP/1.1" 200 22961
[INFO] 2026-02-03 10:34:38,233 views 4668 16964 解析結果を保存しました: 1
[INFO] 2026-02-03 10:34:38,236 log 4668 16964 "POST / HTTP/1.1" 200 27450
[INFO] 2026-02-03 10:34:38,390 log 4668 16964 "GET /media/uploads/2026/02/03/Dylan.jpeg HTTP/1.1" 200 8850
[INFO] 2026-02-03 10:34:55,660 views 4668 16964 解析結果を保存しました: 2
[INFO] 2026-02-03 10:34:55,663 log 4668 16964 "POST / HTTP/1.1" 200 27439
[INFO] 2026-02-03 10:34:55,692 log 4668 16964 "GET /media/uploads/2026/02/03/Sports_Car.jpeg HTTP/1.1" 200 6831
[INFO] 2026-02-03 10:35:05,100 views 4668 16964 解析結果を保存しました: 3
[INFO] 2026-02-03 10:35:05,104 log 4668 16964 "POST / HTTP/1.1" 200 27439
[INFO] 2026-02-03 10:35:05,137 log 4668 16964 "GET /media/uploads/2026/02/03/Flaming.jpeg HTTP/1.1" 200 10621
[INFO] 2026-02-03 10:35:15,667 views 4668 16964 解析結果を保存しました: 4
[INFO] 2026-02-03 10:35:15,670 log 4668 16964 "POST / HTTP/1.1" 200 27387
[INFO] 2026-02-03 10:35:15,693 log 4668 16964 "GET /media/uploads/2026/02/03/Kili.jpeg HTTP/1.1" 200 6213
[INFO] 2026-02-03 10:35:24,571 views 4668 16964 解析結果を保存しました: 5
[INFO] 2026-02-03 10:35:24,574 log 4668 16964 "POST / HTTP/1.1" 200 27444
[INFO] 2026-02-03 10:35:24,606 log 4668 16964 "GET /media/uploads/2026/02/03/HASAMI.jpeg HTTP/1.1" 200 3456
[INFO] 2026-02-03 10:35:31,933 views 4668 16964 解析結果を保存しました: 6
[INFO] 2026-02-03 10:35:31,936 log 4668 16964 "POST / HTTP/1.1" 200 27432
[INFO] 2026-02-03 10:35:31,966 log 4668 16964 "GET /media/uploads/2026/02/03/bycycle.jpeg HTTP/1.1" 200 8659
[INFO] 2026-02-03 10:35:43,945 views 4668 16964 解析結果を保存しました: 7
[INFO] 2026-02-03 10:35:43,947 log 4668 16964 "POST / HTTP/1.1" 200 27458
[INFO] 2026-02-03 10:35:43,985 log 4668 16964 "GET /media/uploads/2026/02/03/Dylan_i6oT64O.jpeg HTTP/1.1" 200 8850
[INFO] 2026-02-03 10:35:48,536 views 4668 16964 解析結果を保存しました: 8
[INFO] 2026-02-03 10:35:48,539 log 4668 16964 "POST / HTTP/1.1" 200 27447
[INFO] 2026-02-03 10:35:48,573 log 4668 16964 "GET /media/uploads/2026/02/03/Sports_Car_9oeFSGt.jpeg HTTP/1.1" 200 6831
[INFO] 2026-02-03 10:35:55,286 views 4668 16964 解析結果を保存しました: 9
[INFO] 2026-02-03 10:35:55,289 log 4668 16964 "POST / HTTP/1.1" 200 27447
[INFO] 2026-02-03 10:35:55,324 log 4668 16964 "GET /media/uploads/2026/02/03/Flaming_yScWW99.jpeg HTTP/1.1" 200 10621
[INFO] 2026-02-03 10:35:59,149 views 4668 16964 解析結果を保存しました: 10
[INFO] 2026-02-03 10:35:59,152 log 4668 16964 "POST / HTTP/1.1" 200 27395
[INFO] 2026-02-03 10:35:59,177 log 4668 16964 "GET /media/uploads/2026/02/03/Kili_1UJJBn2.jpeg HTTP/1.1" 200 6213
[INFO] 2026-02-03 10:36:04,099 views 4668 16964 解析結果を保存しました: 11
[INFO] 2026-02-03 10:36:04,102 log 4668 16964 "POST / HTTP/1.1" 200 27395
[INFO] 2026-02-03 10:36:04,124 log 4668 16964 "GET /media/uploads/2026/02/03/Kili_tMvt87F.jpeg HTTP/1.1" 200 6213
[INFO] 2026-02-03 10:36:09,196 views 4668 16964 解析結果を保存しました: 12
[INFO] 2026-02-03 10:36:09,201 log 4668 16964 "POST / HTTP/1.1" 200 27452
[INFO] 2026-02-03 10:36:09,227 log 4668 16964 "GET /media/uploads/2026/02/03/HASAMI_FQs4vje.jpeg HTTP/1.1" 200 3456
[INFO] 2026-02-03 10:36:11,718 log 4668 16964 "GET /history/ HTTP/1.1" 200 48183
[INFO] 2026-02-03 10:36:11,745 log 4668 16964 "GET /media/uploads/2026/02/03/HASAMI_FQs4vje.jpeg HTTP/1.1" 304 0
[INFO] 2026-02-03 10:36:11,747 log 4668 7392 "GET /media/uploads/2026/02/03/Kili_tMvt87F.jpeg HTTP/1.1" 304 0
[INFO] 2026-02-03 10:36:11,783 log 4668 7392 "GET /media/uploads/2026/02/03/Kili_1UJJBn2.jpeg HTTP/1.1" 304 0
[INFO] 2026-02-03 10:36:11,784 log 4668 16964 "GET /media/uploads/2026/02/03/Flaming_yScWW99.jpeg HTTP/1.1" 304 0
[INFO] 2026-02-03 10:36:11,788 log 4668 2472 "GET /media/uploads/2026/02/03/Dylan_i6oT64O.jpeg HTTP/1.1" 304 0
[INFO] 2026-02-03 10:36:11,792 log 4668 9468 "GET /media/uploads/2026/02/03/Sports_Car_9oeFSGt.jpeg HTTP/1.1" 304 0
[INFO] 2026-02-03 10:36:11,798 log 4668 2472 "GET /media/uploads/2026/02/03/Kili.jpeg HTTP/1.1" 304 0
[INFO] 2026-02-03 10:36:11,798 log 4668 14744 "GET /media/uploads/2026/02/03/bycycle.jpeg HTTP/1.1" 304 0
[INFO] 2026-02-03 10:36:11,799 log 4668 16964 "GET /media/uploads/2026/02/03/Flaming.jpeg HTTP/1.1" 304 0
[INFO] 2026-02-03 10:36:11,800 log 4668 20168 "GET /media/uploads/2026/02/03/HASAMI.jpeg HTTP/1.1" 304 0
[INFO] 2026-02-03 10:36:32,373 log 4668 20168 "GET /history/?page=2 HTTP/1.1" 200 27506
[INFO] 2026-02-03 10:36:32,415 log 4668 20168 "GET /media/uploads/2026/02/03/Sports_Car.jpeg HTTP/1.1" 304 0
[INFO] 2026-02-03 10:36:32,426 log 4668 20168 "GET /media/uploads/2026/02/03/Dylan.jpeg HTTP/1.1" 304 0
[INFO] 2026-02-03 10:42:50,658 autoreload 4668 9664 C:\Users\nomur\Desktop\要削除\image_classification_test\predict\views.py changed, reloading.
[INFO] 2026-02-03 10:42:58,390 apps 15988 2616 VGG16 モデルをロード中...
[INFO] 2026-02-03 10:43:01,184 apps 15988 2616 VGG16 モデルのロードが完了しました
[INFO] 2026-02-03 10:43:01,185 apps 15988 2616 モデルバージョン: v1.0
[INFO] 2026-02-03 10:43:01,185 apps 15988 2616 画像解析アプリケーション の初期化が完了しました
[INFO] 2026-02-03 10:43:01,228 autoreload 15988 2616 Watching for file changes with StatReloader
[INFO] 2026-02-03 10:43:04,970 log 15988 15128 "GET / HTTP/1.1" 200 22961
[INFO] 2026-02-03 10:43:11,954 log 15988 15128 "GET /history/ HTTP/1.1" 200 48183
[INFO] 2026-02-03 10:43:11,987 log 15988 15128 "GET /media/uploads/2026/02/03/HASAMI_FQs4vje.jpeg HTTP/1.1" 304 0
[INFO] 2026-02-03 10:43:11,999 log 15988 15128 "GET /media/uploads/2026/02/03/Kili_tMvt87F.jpeg HTTP/1.1" 304 0
[INFO] 2026-02-03 10:43:12,018 log 15988 15128 "GET /media/uploads/2026/02/03/Kili_1UJJBn2.jpeg HTTP/1.1" 304 0
[INFO] 2026-02-03 10:43:12,019 log 15988 10532 "GET /media/uploads/2026/02/03/Flaming_yScWW99.jpeg HTTP/1.1" 304 0
[INFO] 2026-02-03 10:43:12,027 log 15988 14060 "GET /media/uploads/2026/02/03/Sports_Car_9oeFSGt.jpeg HTTP/1.1" 304 0
[INFO] 2026-02-03 10:43:12,034 log 15988 14060 "GET /media/uploads/2026/02/03/Kili.jpeg HTTP/1.1" 304 0
[INFO] 2026-02-03 10:43:12,035 log 15988 15128 "GET /media/uploads/2026/02/03/Flaming.jpeg HTTP/1.1" 304 0
[INFO] 2026-02-03 10:43:12,040 log 15988 4048 "GET /media/uploads/2026/02/03/Dylan_i6oT64O.jpeg HTTP/1.1" 304 0
[INFO] 2026-02-03 10:43:12,050 log 15988 2052 "GET /media/uploads/2026/02/03/bycycle.jpeg HTTP/1.1" 304 0
[INFO] 2026-02-03 10:43:12,052 log 15988 13852 "GET /media/uploads/2026/02/03/HASAMI.jpeg HTTP/1.1" 304 0
[INFO] 2026-02-03 10:43:17,840 log 15988 13852 "GET / HTTP/1.1" 200 22961
[INFO] 2026-02-03 10:43:44,212 views 15988 13852 解析結果を保存しました: 13
[INFO] 2026-02-03 10:43:44,215 log 15988 13852 "POST / HTTP/1.1" 200 27458
[INFO] 2026-02-03 10:43:44,339 log 15988 13852 "GET /media/uploads/2026/02/03/Dylan_IbYWQI3.jpeg HTTP/1.1" 200 8850
[INFO] 2026-02-03 10:43:56,356 log 15988 13852 "GET /history/ HTTP/1.1" 200 48269
[INFO] 2026-02-03 10:43:56,392 log 15988 13852 "GET /media/uploads/2026/02/03/Dylan_IbYWQI3.jpeg HTTP/1.1" 304 0
[INFO] 2026-02-03 10:43:56,402 log 15988 13852 "GET /media/uploads/2026/02/03/HASAMI_FQs4vje.jpeg HTTP/1.1" 304 0
[INFO] 2026-02-03 10:43:56,416 log 15988 13852 "GET /media/uploads/2026/02/03/Kili_tMvt87F.jpeg HTTP/1.1" 304 0
[INFO] 2026-02-03 10:43:56,417 log 15988 4048 "GET /media/uploads/2026/02/03/Flaming_yScWW99.jpeg HTTP/1.1" 304 0
[INFO] 2026-02-03 10:43:56,417 log 15988 2052 "GET /media/uploads/2026/02/03/Kili_1UJJBn2.jpeg HTTP/1.1" 304 0
[INFO] 2026-02-03 10:44:06,047 views 15988 2052 解析結果を削除しました: ID=12
[INFO] 2026-02-03 10:44:06,050 log 15988 2052 "POST /delete/12/ HTTP/1.1" 302 0
[INFO] 2026-02-03 10:44:06,070 log 15988 2052 "GET /history/ HTTP/1.1" 200 48635
[INFO] 2026-02-03 10:44:06,110 log 15988 2052 "GET /media/uploads/2026/02/03/Dylan_IbYWQI3.jpeg HTTP/1.1" 304 0
[INFO] 2026-02-03 10:44:06,124 log 15988 2052 "GET /media/uploads/2026/02/03/Sports_Car_9oeFSGt.jpeg HTTP/1.1" 304 0
[INFO] 2026-02-03 10:44:06,133 log 15988 13852 "GET /media/uploads/2026/02/03/HASAMI.jpeg HTTP/1.1" 304 0
[INFO] 2026-02-03 10:44:06,134 log 15988 2052 "GET /media/uploads/2026/02/03/Dylan_i6oT64O.jpeg HTTP/1.1" 304 0
[INFO] 2026-02-03 10:44:06,134 log 15988 4048 "GET /media/uploads/2026/02/03/bycycle.jpeg HTTP/1.1" 304 0
[INFO] 2026-02-03 10:44:06,134 log 15988 15128 "GET /media/uploads/2026/02/03/Kili.jpeg HTTP/1.1" 304 0
[INFO] 2026-02-03 10:44:06,135 log 15988 14060 "GET /media/uploads/2026/02/03/Flaming.jpeg HTTP/1.1" 304 0
[INFO] 2026-02-03 10:44:09,150 views 15988 14060 解析結果を削除しました: ID=13
[INFO] 2026-02-03 10:44:09,152 log 15988 14060 "POST /delete/13/ HTTP/1.1" 302 0
[INFO] 2026-02-03 10:44:09,171 log 15988 14060 "GET /history/ HTTP/1.1" 200 48583
[INFO] 2026-02-03 10:44:09,210 log 15988 14060 "GET /media/uploads/2026/02/03/Sports_Car.jpeg HTTP/1.1" 304 0
[INFO] 2026-02-03 10:44:40,662 autoreload 15988 2616 C:\Users\nomur\Desktop\要削除\image_classification_test\predict\views.py changed, reloading.
[INFO] 2026-02-03 10:44:48,254 apps 12308 12348 VGG16 モデルをロード中...
[INFO] 2026-02-03 10:44:51,221 apps 12308 12348 VGG16 モデルのロードが完了しました
[INFO] 2026-02-03 10:44:51,222 apps 12308 12348 モデルバージョン: v1.0
[INFO] 2026-02-03 10:44:51,223 apps 12308 12348 画像解析アプリケーション の初期化が完了しました
[INFO] 2026-02-03 10:44:51,270 autoreload 12308 12348 Watching for file changes with StatReloader
[INFO] 2026-02-03 11:05:20,760 apps 20396 17956 EfficientNetB0 モデルをロード中...
[INFO] 2026-02-03 11:05:25,627 apps 20396 17956 EfficientNetB0 モデルのロードが完了しました
[INFO] 2026-02-03 11:05:25,628 apps 20396 17956 モデルバージョン: v1.0
[INFO] 2026-02-03 11:05:25,631 apps 20396 17956 画像解析アプリケーション の初期化が完了しました
[INFO] 2026-02-03 11:05:25,675 autoreload 20396 17956 Watching for file changes with StatReloader
[INFO] 2026-02-03 11:05:30,656 log 20396 15356 "GET / HTTP/1.1" 200 22961
[INFO] 2026-02-03 11:05:33,484 log 20396 15356 "GET /history/ HTTP/1.1" 200 48200
[INFO] 2026-02-03 11:05:33,520 log 20396 15356 "GET /media/uploads/2026/02/03/Kili_tMvt87F.jpeg HTTP/1.1" 304 0
[INFO] 2026-02-03 11:05:33,533 log 20396 15356 "GET /media/uploads/2026/02/03/Kili_1UJJBn2.jpeg HTTP/1.1" 304 0
[INFO] 2026-02-03 11:05:33,547 log 20396 15356 "GET /media/uploads/2026/02/03/Flaming_yScWW99.jpeg HTTP/1.1" 304 0
